County,CountyType,EVCount,PHEVCount,BEVCount,Population,RGDP
Adams,Rural,52,14,38,21100,993916
Asotin,Rural,74,25,49,22600,684569
Benton,Urban,2183,664,1519,212300,12003056
Chelan,Rural,1078,222,856,80650,4899098
Clallam,Rural,1079,330,749,77625,2669936
Clark,Urban,10675,2766,7909,520900,24511742
Columbia,Rural,16,0,16,3950,345160
Cowlitz,Rural,935,272,663,112350,5449102
Douglas,Rural,372,91,281,44000,1905866
Ferry,Rural,30,4,26,7300,184698
Franklin,Rural,585,171,414,99750,4203214
Garfield,Rural,4,3,1,2300,181443
Grant,Rural,585,170,415,101800,5810498
Grays Harbor,Rural,648,223,425,76400,2644418
Island,Rural,1921,508,1413,87700,3442637
Jefferson,Rural,996,288,708,33350,1161813
King,Urban,94460,18235,76225,2317700,367176011
Kitsap,Urban,5956,1558,4398,280900,13211612
Kittitas,Rural,643,129,514,47200,1874167
Klickitat,Rural,294,81,213,23150,1636567
Lewis,Rural,767,332,435,83400,3576678
Lincoln,Rural,52,26,26,11050,520372
Mason,Rural,840,239,601,66200,1683356
Okanogan,Rural,272,80,192,42700,1411887
Pacific,Rural,209,98,111,23600,742289
Pend Oreille,Rural,56,20,36,13625,522873
Pierce,Urban,14043,3345,10698,937400,47097871
San Juan,Rural,947,201,746,18150,892560
Skagit,Rural,1968,499,1469,131250,6468582
Skamania,Rural,196,55,141,11900,305994
Snohomish,Urban,21439,3774,17665,847300,48304328
Spokane,Urban,4671,1476,3195,550700,28861522
Stevens,Rural,223,73,150,47050,1150506
Thurston,Urban,6600,1678,4922,300500,15179737
Wahkiakum,Rural,61,22,39,4525,102526
Walla Walla,Rural,439,145,294,62625,3417318
Whatcom,Urban,4331,1105,3226,231650,13584365
Whitman,Rural,341,118,223,47800,2691438
Yakima,Rural,1034,318,716,259950,10476526
