County,CountyType,EVCount,PHEVCount,BEVCount,Population,RGDP,RGDPPerCapita,EVsPerCapita,EVCountPerCapita,
Adams,Rural,52,14,38,21100,993916,47,0.002,0.0025,
Asotin,Rural,74,25,49,22600,684569,30,0.003,0.0033,
Benton,Urban,2183,664,1519,212300,12003056,57,0.01,0.0103,
Chelan,Rural,1078,222,856,80650,4899098,61,0.013,0.0134,
Clallam,Rural,1079,330,749,77625,2669936,34,0.014,0.0139,
Clark,Urban,10675,2766,7909,520900,24511742,47,0.02,0.0205,
Columbia,Rural,16,0,16,3950,345160,87,0.004,0.0041,
Cowlitz,Rural,935,272,663,112350,5449102,49,0.008,0.0083,
Douglas,Rural,372,91,281,44000,1905866,43,0.008,0.0085,
Ferry,Rural,30,4,26,7300,184698,25,0.004,0.0041,
Franklin,Rural,585,171,414,99750,4203214,42,0.006,0.0059,
Garfield,Rural,4,3,1,2300,181443,79,0.002,0.0017,
Grant,Rural,585,170,415,101800,5810498,57,0.006,0.0057,
Grays Harbor,Rural,648,223,425,76400,2644418,35,0.008,0.0085,
Island,Rural,1921,508,1413,87700,3442637,39,0.022,0.0219,
Jefferson,Rural,996,288,708,33350,1161813,35,0.03,0.0299,
King,Urban,94460,18235,76225,2317700,367176011,158,0.041,0.0408,
Kitsap,Urban,5956,1558,4398,280900,13211612,47,0.021,0.0212,
Kittitas,Rural,643,129,514,47200,1874167,40,0.014,0.0136,
Klickitat,Rural,294,81,213,23150,1636567,71,0.013,0.0127,
Lewis,Rural,767,332,435,83400,3576678,43,0.009,0.0092,
Lincoln,Rural,52,26,26,11050,520372,47,0.005,0.0047,
Mason,Rural,840,239,601,66200,1683356,25,0.013,0.0127,
Okanogan,Rural,272,80,192,42700,1411887,33,0.006,0.0064,
Pacific,Rural,209,98,111,23600,742289,31,0.009,0.0089,
Pend Oreille,Rural,56,20,36,13625,522873,38,0.004,0.0041,
Pierce,Urban,14043,3345,10698,937400,47097871,50,0.015,0.0150,
San Juan,Rural,947,201,746,18150,892560,49,0.052,0.0522,
Skagit,Rural,1968,499,1469,131250,6468582,49,0.015,0.0150,
Skamania,Rural,196,55,141,11900,305994,26,0.016,0.0165,
Snohomish,Urban,21439,3774,17665,847300,48304328,57,0.025,0.0253,
Spokane,Urban,4671,1476,3195,550700,28861522,52,0.008,0.0085,
Stevens,Rural,223,73,150,47050,1150506,24,0.005,0.0047,
Thurston,Urban,6600,1678,4922,300500,15179737,51,0.022,0.0220,
Wahkiakum,Rural,61,22,39,4525,102526,23,0.013,0.0135,
Walla Walla,Rural,439,145,294,62625,3417318,55,0.007,0.0070,
Whatcom,Urban,4331,1105,3226,231650,13584365,59,0.019,0.0187,
Whitman,Rural,341,118,223,47800,2691438,56,0.007,0.0071,
Yakima,Rural,1034,318,716,259950,10476526,40,0.004,0.0040,
